year,month,app_name,cust_vol_mn,cust_val_cr,b2c_vol_mn,b2c_val_cr,b2b_vol_mn,b2b_val_cr,onus_vol_mn,onus_val_cr,total_vol_mn,total_val_cr,app_name_std
2022,4,Airtel Payments Bank Apps,5.29,454.64,0.0,0.0,0.0,0.0,0.01,6.26,5.3,460.9,Airtel Payments Bank Apps
2022,4,Amazon Pay,73.21,6699.57,0.0,0.0,0.0,0.0,0.0,0.0,73.21,6699.57,Amazon Pay
2022,4,AU Small Finance Bank Apps,0.32,109.89,0.0,0.0,0.0,0.0,0.0,0.0,0.32,109.89,AU Small Finance Bank Apps
2022,4,Axis Bank Apps,7.19,1213.44,56.84,43.71,0.0,0.0,0.0,0.0,64.03,1257.15,Axis Bank
2022,4,Bajaj Finserv,0.52,38.61,0.0,0.0,0.0,0.0,0.0,0.0,0.52,38.61,Bajaj Finserv
2022,4,Bank of Baroda Apps,0.77,344.65,0.0,0.0,0.0,0.0,0.0,0.0,0.77,344.65,Bank of Baroda Apps
2022,4,Bank of India Apps,0.1,32.62,0.0,0.0,0.0,0.0,0.0,0.0,0.1,32.62,Bank of India Apps
2022,4,Bank of Maharashtra Apps,0.05,14.56,0.0,0.0,0.0,0.0,0.0,0.0,0.05,14.56,Bank of Maharashtra Apps
2022,4,BHIM,25.69,8354.34,0.0,0.0,0.0,0.0,0.0,0.0,25.69,8354.34,BHIM
2022,4,Canara Bank Apps,0.31,110.31,0.0,0.0,0.0,0.0,0.0,0.0,0.31,110.31,Canara Bank Apps
2022,4,Central Bank of India Apps,0.13,51.04,0.0,0.0,0.0,0.0,0.0,0.0,0.13,51.04,Central Bank of India Apps
2022,4,Citi Bank Apps,0.08,66.03,0.0,0.0,0.0,0.0,0.0,0.0,0.08,66.03,Citi Bank Apps
2022,4,City Union Bank Apps,0.03,8.41,0.0,0.0,0.0,0.0,0.0,0.0,0.03,8.41,City Union Bank Apps
2022,4,Cointab,0.07,28.5,0.0,0.0,0.0,0.0,0.0,0.0,0.07,28.5,Cointab
2022,4,Cred,13.05,16372.92,0.0,0.0,0.0,0.0,0.0,0.0,13.05,16372.92,CRED
2022,4,DBS Digibank Apps,0.47,175.45,0.0,0.0,0.0,0.0,0.0,0.0,0.47,175.45,DBS Digibank Apps
2022,4,Deutsche Bank Apps,1.51,128.13,0.0,0.0,0.0,0.3,0.0,0.0,1.51,128.43,Deutsche Bank Apps
